name,salary_from,salary_to,salary_currency,area_name,published_at
Python-разработчик,,,,Москва,2022-12-15T01:47:12+0300
Junior Level Designer Match-3 (Левел дизайнер 3 в ряд),,,,Минск,2022-12-15T11:33:31+0300
Системный администратор,35000.0,45000.0,RUR,Екатеринбург,2022-12-15T05:54:50+0300
Оператор лазерного станка,60000.0,,RUR,Санкт-Петербург,2022-12-15T00:29:56+0300
Системный аналитик,,,,Москва,2022-12-15T11:50:38+0300
Бизнес-аналитик,,,,Москва,2022-12-15T02:43:09+0300
Токарь 5-6 разряд,,,,Смоленск,2022-12-15T09:26:46+0300
Токарь-расточник,120000.0,130000.0,RUR,Тула,2022-12-15T07:56:24+0300
Механик по обслуживанию инженерных систем зданий и сооружений,,,,Калуга,2022-12-15T09:19:20+0300
Токарь 16К20,109500.0,,RUR,Санкт-Петербург,2022-12-15T09:26:33+0300
Механик,175000.0,,RUR,Владивосток,2022-12-15T02:20:48+0300
Инженер по нагрузочному тестированию,,,,Москва,2022-12-15T10:46:48+0300
Аналитик WMS,160000.0,,RUR,Москва,2022-12-15T10:13:14+0300
Контролер технического состояния автомобилей,58000.0,67000.0,RUR,Ярославль,2022-12-15T10:41:25+0300
Мастер-стажер / сервисный инженер по ремонту компьютеров,80000.0,,RUR,Санкт-Петербург,2022-12-15T09:13:41+0300
Оператор станков с программным управлением,45000.0,,RUR,Конаково,2022-12-15T08:55:43+0300
Графический дизайнер,35000.0,,RUR,Гатчина,2022-12-15T00:46:47+0300
Фоторедактор,40000.0,,RUR,Омск,2022-12-15T11:42:39+0300
Data Engineer junior +,,,,Москва,2022-12-15T11:28:59+0300
Специалист по информационной безопасности,30000.0,40000.0,RUR,Чебоксары,2022-12-15T09:40:01+0300
Специалист в отдел технической защиты информации,,80000.0,RUR,Москва,2022-12-15T11:47:55+0300
Аналитик отдела продаж,,,,Саратов,2022-12-15T07:56:47+0300
Фрезеровщик,,,,Ростов-на-Дону,2022-12-15T09:36:56+0300
Руководитель проектов службы Технического заказчика,,,,Москва,2022-12-15T11:59:21+0300
Специалист технической поддержки,52000.0,,RUR,Екатеринбург,2022-12-15T07:18:24+0300
Главный оперативный дежурный ЕЦУС,,,,Санкт-Петербург,2022-12-15T10:30:41+0300
Аналитик рынка морского фрахта,,,,Москва,2022-12-15T11:02:24+0300
Инсталлятор,35000.0,,RUR,Белокуриха,2022-12-15T08:14:14+0300
Senior Full Stack Developer,,,,Москва,2022-12-15T01:16:13+0300
Контент-аналитик,45000.0,45000.0,RUR,Владивосток,2022-12-15T09:44:34+0300
Архитектор 1С (Senior разработчик),,,,Москва,2022-12-15T09:39:03+0300
Менеджер проектов (Департамент клиентского сервиса),,,,Москва,2022-12-15T08:54:52+0300
Системный аналитик [IoT Hub],,,,Москва,2022-12-15T10:16:29+0300
Frontend разработчик (Vue),,,,Нижний Новгород,2022-12-15T11:27:16+0300
Дизайнер-конструктор,,,,Курск,2022-12-15T11:10:55+0300
Арт-директор / Креативный директор,110000.0,,RUR,Санкт-Петербург,2022-12-15T11:23:40+0300
Программист-разработчик,,,,Иркутск,2022-12-15T11:56:06+0300
Администратор проекта,,80000.0,RUR,Казань,2022-12-15T11:01:48+0300
Программист,40000.0,,RUR,Краснодар,2022-12-15T09:02:40+0300
Графический дизайнер,,,,Омск,2022-12-15T06:40:12+0300
Руководитель ИТ проектов,,,,Москва,2022-12-15T09:56:46+0300
Оператор станка лазерной резки с ЧПУ,,,,Челябинск,2022-12-15T11:15:34+0300
Системный администратор,6000000.0,7000000.0,UZS,Ташкент,2022-12-15T08:03:05+0300
Выездной инженер технической поддержки,62000.0,,RUR,Санкт-Петербург,2022-12-15T10:20:03+0300
Оператор станков с ПУ,60000.0,,RUR,Красноярск,2022-12-15T05:05:42+0300
Программист-разработчик,,,,Новокузнецк,2022-12-15T07:13:39+0300
Наладчик станков и манипуляторов с ПУ,50000.0,,RUR,Красноярск,2022-12-15T05:05:41+0300
Инженер по программному обеспечению и информационной безопасности,120000.0,130000.0,KZT,Алматы,2022-12-15T07:15:41+0300
